lake,year,water_area_ha
ALL,2022.0,2392.95104195913
ALL,2023.0,2432.6179598993763
ALL,2024.0,2432.2515731970516
ALL,2025.0,2488.3256140406056
ALL,2026.0,2317.6573345934135
