system:index,gain_ha,gain_m2,.geo
00000000000000000000,0.0,0.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
00000000000000000001,0.0,0.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
