system:index,water_area_ha,water_area_m2,year,.geo
0_00000000000000000000,0.03754387283325195,375.43872833251953,2022.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
0_00000000000000000001,0.0375437515258789,375.43751525878906,2022.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
1_00000000000000000000,0.03754387283325195,375.43872833251953,2023.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
1_00000000000000000001,0.0375437515258789,375.43751525878906,2023.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
2_00000000000000000000,0.03754387283325195,375.43872833251953,2024.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
2_00000000000000000001,0.0375437515258789,375.43751525878906,2024.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
3_00000000000000000000,0.03754387283325195,375.43872833251953,2025.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
3_00000000000000000001,0.0375437515258789,375.43751525878906,2025.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
4_00000000000000000000,0.03754387283325195,375.43872833251953,2026.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346001661720244],[73.20000091472532,19.346251371379232]]}"
4_00000000000000000001,0.0375437515258789,375.43751525878906,2026.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,19.346501081038227],[73.20000091472532,19.34675079069722]]}"
