system:index,water_area_ha,water_area_m2,year,.geo
0_00000000000000000000,0.11638094902786557,1163.8094902786556,2022.0,"{""type"":""LineString"",""coordinates"":[[73.14708922162514,18.799998115028952],[73.14583621422912,18.801054921978622],[73.14360666370239,18.801888773875614],[73.14027571521547,18.803168535877955],[73.12966751380932,18.801389354557628],[73.12461089321471,18.80324879969692],[73.11716419445546,18.810196079138183],[73.1084734065023,18.809085762975876],[73.105360953967,18.811168163167835],[73.10099995313672,18.810971962721485],[73.08888903467556,18.80002932873633],[73.08727929919526,18.80033254760796],[73.08381011857568,18.800970199058604],[73.0788560573053,18.817999505981714],[73.07694310295338,18.820474307066377]]}"
0_00000000000000000001,0.5512409191834695,5512.409191834695,2022.0,"{""type"":""LineString"",""coordinates"":[[73.20000091472532,18.871196581549327],[73.19936326327468,18.871250090761965],[73.1868911576282,18.88191626048181],[73.1841131376719,18.882861589905136],[73.17533316769766,18.885889319520427],[73.16688763030243,18.886165783785746],[73.15838412459351,18.880721221399487],[73.1577241776376,18.878585311994883],[73.15272552535669,18.862363102362448],[73.14908689889708,18.858251811191167],[73.1480033373411,18.857970887824802],[73.12394648715775,18.851750441855245],[73.11328031743791,18.84422347927703],[73.10700190315465,18.843336118167397],[73.0956668682768,18.844776407807657],[73.09202378271613,18.84366609164535],[73.08949993151988,18.84163720066603],[73.08574536843288,18.83863622565706],[73.07794194158934,18.826748262248575],[73.0740580645718,18.824224411052327]]}"
0_00000000000000000002,0.017151072764677158,171.51072764677158,2022.0,"{""type"":""LineString"",""coordinates"":[[73.09080644812856,18.998775921789463],[73.10163760458735,18.992970172217877],[73.10297533490339,18.99147191426392],[73.11052905208793,18.98280342181602],[73.1159156461605,18.979664214674393],[73.11966575014644,18.977470336956102],[73.12280049818702,18.97883482187845],[73.12422295142306,18.979998647253403],[73.12669329340667,18.98202753823272],[73.13014017852099,18.992332520767235],[73.13935714039846,18.99755412810082],[73.14058785228922,18.999748005819114],[73.14863652969068,19.014280216152294],[73.15497737138868,19.020442693808157],[73.16007858299382,19.029833560626713],[73.16591554627279,19.03508192256662],[73.17947567257632,19.038916749472587],[73.18183007793253,19.040472975740236],[73.19672347545104,19.050305293563085],[73.20000091472532,19.05426051619749]]}"
0_00000000000000000003,0.0,0.0,2022.0,"{""type"":""LineString"",""coordinates"":[[73.18277540735586,19.098637489881387],[73.17839211102033,19.090637862591503],[73.16960768194504,19.081724119585665],[73.15750122258493,19.075360982382396],[73.1400527601628,19.06950172359817],[73.1242764606357,19.058331675459286],[73.12041487912342,19.057890224454994],[73.11653100210587,19.05491600405235],[73.11072525253428,19.054719803605995],[73.10652923844299,19.05036326187678],[73.10416591488466,19.047888460792116],[73.09583185501577,19.04655518957714],[73.09036053802319,19.0456678284675]]}"
0_00000000000000000004,0.8860430110946355,8860.430110946354,2022.0,"{""type"":""LineString"",""coordinates"":[[73.14568906389435,19.267780111040697],[73.16005628748857,19.253778533732874],[73.16308401710384,19.250835527037598],[73.16519317190212,19.24877542235091],[73.16538937234847,19.24858368100561],[73.1712486311327,19.254750617762525],[73.17463754793332,19.256110643583824],[73.18958445466447,19.25158465601458],[73.1896112092708,19.25158465601458],[73.19249624765237,19.250724049511263],[73.19338806786307,19.254500908103534],[73.19450284312643,19.25919634151281],[73.19716492645533,19.26080607699311],[73.19994294641162,19.259526314990765],[73.20000091472532,19.2595040194855]]}"
0_00000000000000000005,1.479383218380798,14793.83218380798,2022.0,"{""type"":""LineString"",""coordinates"":[[73.14568906389435,19.267780111040697],[73.14035597903442,19.269416601127308],[73.12833424259433,19.27983306118816],[73.12327762199973,19.28216517103911],[73.11335612215582,19.282446094405476],[73.10752807707897,19.278111848181528],[73.10336327669505,19.272386362428904]]}"
0_00000000000000000006,1.6356895138729304,16356.895138729304,2022.0,"{""type"":""LineString"",""coordinates"":[[73.14568906389435,19.267780111040697],[73.15174898222598,19.271418737500305],[73.1645822750578,19.27477644059355],[73.1718907416844,19.278419526154213],[73.17919029010889,19.28480495886275]]}"
0_00000000000000000007,0.5097325431374942,5097.325431374942,2022.0,"{""type"":""LineString"",""coordinates"":[[73.17919029010889,19.28480495886275],[73.18985645982873,19.289558360585723],[73.19108717171949,19.291391051118694],[73.18944622253183,19.29899827751587],[73.19091772587946,19.30427785316315],[73.19386073257473,19.306306744142464],[73.20000091472532,19.304054898110476]]}"
0_00000000000000000008,0.1684766430993174,1684.766430993174,2022.0,"{""type"":""LineString"",""coordinates"":[[72.99160928609358,19.27877625423849],[72.99741503566517,19.27849978997318],[73.00203020525548,19.28100134566416],[73.0025563791798,19.291333082804993],[73.00313606231674,19.30261014936916],[73.0048349798181,19.3071941052521],[73.00777352741233,19.31016832565475],[73.01430611045562,19.311501596869725],[73.03266868859372,19.30750178322479],[73.04358456797254,19.307666769963767],[73.04411520099791,19.307889725016437],[73.05691728012235,19.313583997061688],[73.06075210702832,19.316946159255988],[73.06469841146061,19.32041533987557],[73.07963639998965,19.342947177498626],[73.080332019754,19.343999525347243],[73.09300032584683,19.355887488755727],[73.09525217187883,19.37058468582789],[73.09747280420343,19.376082757426786],[73.10308235332867,19.38316826900071],[73.12349611795135,19.393388528615215]]}"
0_00000000000000000009,1.3053914087572291,13053.914087572291,2022.0,"{""type"":""LineString"",""coordinates"":[[73.17919029010889,19.28480495886275],[73.17441459288065,19.29655469013858],[73.18716316279246,19.320138875610258],[73.18963796387712,19.326805231685157],[73.18869709355484,19.33208480733244],[73.19116743553845,19.339665279123295],[73.20000091472532,19.347054009568858]]}"
