lake,year,water_area_ha
ALL,2022.0,2207.4914094729406
ALL,2023.0,2213.161652195321
ALL,2024.0,2185.796557222682
ALL,2025.0,2188.1202963956466
ALL,2026.0,2136.8367408524546
