source_title,source_year,record_type,location,observation_year,month,parameter,unit,powai_min,powai_max,powai_mean,vihar_min,vihar_max,vihar_mean,notes,month_num,plot_label
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Transparency,cm,73.0,73.0,73.0,,,,Single monthly observation from Table 1,1,Jan-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Conductivity,mhos/cm,164.0,164.0,164.0,,,,Reported as mhos/cm in paper,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Nitrate,mg/L,1.7,1.7,1.7,,,,Single monthly observation from Table 1,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Phosphate,mg/ml (as reported),0.8,0.8,0.8,,,,Units reported as mg/ml in paper,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Sulphate,mg/L,2.9,2.9,2.9,,,,Single monthly observation from Table 1,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Total alkalinity,mg/L,171.0,171.0,171.0,,,,Single monthly observation from Table 1,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Total hardness,mg/L,180.0,180.0,180.0,,,,Single monthly observation from Table 1,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Transparency,cm,77.0,77.0,77.0,,,,Single monthly observation from Table 1,2,Feb-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Conductivity,mhos/cm,131.0,131.0,131.0,,,,Reported as mhos/cm in paper,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Nitrate,mg/L,1.9,1.9,1.9,,,,Single monthly observation from Table 1,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Phosphate,mg/ml (as reported),0.7,0.7,0.7,,,,Units reported as mg/ml in paper,3,Mar-2017
